Name,Current Price,S3,S2,S1,Pivot,R1,R2,R3
ANTGRAPHIC,1.55,1.48,1.52,1.53,1.57,1.58,1.62,1.63
ANUP,1788.85,1721.37,1745.68,1767.27,1791.58,1813.17,1837.48,1859.07
ANURAS,840.55,821.6,828.55,834.55,841.5,847.5,854.45,860.45
APARINDS,7602.2,7081.28,7315.67,7458.93,7693.32,7836.58,8070.97,8214.23
APCL,186.1,180.48,182.77,184.43,186.72,188.38,190.67,192.33
APCOTEXIND,446.15,436.17,440.58,443.37,447.78,450.57,454.98,457.77
APEX,218.5,206.42,210.23,214.37,218.18,222.32,226.13,230.27
APLAPOLLO,1554.45,1513.7,1524.85,1539.65,1550.8,1565.6,1576.75,1591.55
APLLTD,990.25,957.15,971.95,981.1,995.9,1005.05,1019.85,1029.0
APOLLO,109.7,107.05,108.1,108.9,109.95,110.75,111.8,112.6
APOLLOHOSP,6258.6,6084.15,6167.6,6213.1,6296.55,6342.05,6425.5,6471.0
APOLLOPIPE,651.75,617.7,631.35,641.55,655.2,665.4,679.05,689.25
APOLLOTYRE,492.4,476.2,483.0,487.7,494.5,499.2,506.0,510.7
APOLSINHOT,1822.35,1719.9,1745.45,1783.9,1809.45,1847.9,1873.45,1911.9
APS,289.05,274.03,281.02,285.03,292.02,296.03,303.02,307.03
APTECHT,252.4,237.98,244.17,248.28,254.47,258.58,264.77,268.88
APTUS,336.7,320.72,328.13,332.42,339.83,344.12,351.53,355.82
ARABIAN,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05
ARCHIDPLY,118.4,112.18,114.07,116.23,118.12,120.28,122.17,124.33
ARCHIES,30.15,28.75,29.35,29.75,30.35,30.75,31.35,31.75
ARE&M,1112.6,1003.58,1036.67,1074.63,1107.72,1145.68,1178.77,1216.73
ARENTERP,46.65,42.8,44.15,45.4,46.75,48.0,49.35,50.6
ARHAM,307.0,283.08,291.07,299.03,307.02,314.98,322.97,330.93
ARIES,271.75,254.33,259.12,265.43,270.22,276.53,281.32,287.63
ARIHANTACA,138.0,135.33,136.67,137.33,138.67,139.33,140.67,141.33
ARIHANTCAP,61.35,59.3,60.15,60.75,61.6,62.2,63.05,63.65
ARIHANTSUP,360.2,325.02,341.53,350.87,367.38,376.72,393.23,402.57
ARISTO,83.05,80.25,81.65,82.35,83.75,84.45,85.85,86.55
ARMANFIN,1984.75,1904.2,1927.95,1956.35,1980.1,2008.5,2032.25,2060.65
